date,type,label
2024-01-01,jour_férié,New Year's Day
2024-05-01,jour_férié,Labor Day
2024-05-08,jour_férié,Victory Day
2024-07-14,jour_férié,National Day
2024-11-11,jour_férié,Armistice Day
2024-04-01,jour_férié,Easter Monday
2024-05-20,jour_férié,Whit Monday
2024-05-09,jour_férié,Ascension Day
2024-08-15,jour_férié,Assumption Day
2024-11-01,jour_férié,All Saints' Day
2024-12-25,jour_férié,Christmas Day
2025-01-01,jour_férié,New Year's Day
2025-05-01,jour_férié,Labor Day
2025-05-08,jour_férié,Victory Day
2025-07-14,jour_férié,National Day
2025-11-11,jour_férié,Armistice Day
2025-04-21,jour_férié,Easter Monday
2025-06-09,jour_férié,Whit Monday
2025-05-29,jour_férié,Ascension Day
2025-08-15,jour_férié,Assumption Day
2025-11-01,jour_férié,All Saints' Day
2025-12-25,jour_férié,Christmas Day
