datetime,tempmax,tempmin,conditions,precip
2024-06-01,13.8,12.5,"Rain, Overcast",1.793
2024-06-02,15.7,11.0,Partially cloudy,0.0
2024-06-03,18.4,8.5,Partially cloudy,0.0
2024-06-04,20.5,13.9,Overcast,0.0
2024-06-05,17.4,11.7,"Rain, Partially cloudy",0.2
2024-06-06,17.2,9.4,"Rain, Partially cloudy",0.086
2024-06-07,18.7,8.6,Partially cloudy,0.0
2024-06-08,18.1,9.1,Partially cloudy,0.0
2024-06-09,17.6,9.5,"Rain, Partially cloudy",0.057
2024-06-10,14.1,11.2,"Rain, Partially cloudy",7.176
2024-06-11,14.5,8.4,"Rain, Partially cloudy",2.861
2024-06-12,15.3,9.8,"Rain, Overcast",0.953
2024-06-13,17.7,9.4,Partially cloudy,0.0
2024-06-14,18.0,11.8,"Rain, Overcast",4.662
2024-06-15,16.5,10.7,"Rain, Overcast",3.721
2024-06-16,18.6,12.1,"Rain, Partially cloudy",1.669
2024-06-17,19.9,13.0,"Rain, Partially cloudy",0.334
2024-06-18,17.4,15.0,"Rain, Overcast",7.271
2024-06-19,18.8,14.1,"Rain, Partially cloudy",0.484
2024-06-20,20.4,13.1,Partially cloudy,0.0
2024-06-21,20.7,14.0,"Rain, Partially cloudy",0.45
2024-06-22,20.0,13.6,"Rain, Partially cloudy",0.334
2024-06-23,22.1,11.9,Rain,0.028
2024-06-24,24.0,12.6,Clear,0.0
2024-06-25,25.9,16.0,Clear,0.0
2024-06-26,26.4,17.2,Clear,0.0
2024-06-27,25.9,16.6,Partially cloudy,0.0
2024-06-28,20.8,14.0,Partially cloudy,0.0
2024-06-29,23.0,10.7,"Rain, Partially cloudy",0.388
2024-06-30,20.6,14.6,"Rain, Overcast",0.404
2024-07-01,19.2,13.0,"Rain, Partially cloudy",0.555
